#separator:tab
#html:true
#tags column:3
#deck column:4
#notetype column:5

Front	Back	Tags	Deck	Note Type
<b>What are the two default record page view options in Lightning Experience?</b><br><br><img src="Pasted image 20251117212533.png"><br><img src="Pasted image 20251117212656.png">	<b>Full View:</b> Classic single-column layout<br><b>Grouped View:</b> Fields and related lists grouped in collapsible sections<br><br>The default can be overridden per object by creating a <b>custom Lightning Record Page</b> in the <b>Lightning App Builder</b>.	Config::UI	Salesforce Admin	Basic
<b>What does the Hover Details feature show and what controls which fields appear?</b><br><br><img src="Pasted image 20251117214145.png">	Hover Details shows a <b>summary popup</b> when hovering over a record link.<br><br>The fields displayed are determined by the object's <b>Compact Layout</b> — the first few fields in the Compact Layout are used.<br><br>Enabled via: Setup → User Interface → Enable Hover Details	Config::UI	Salesforce Admin	Basic
<b>What items can be added to a Lightning App Navigation Bar?</b><br><br><img src="Pasted image 20251117214525.png">	The Lightning App Navigation Bar can contain:<br>- Standard and Custom Objects<br>- Home<br>- Reports<br>- Dashboards<br>- Chatter (Feeds, People, Groups)<br>- Custom pages/tabs<br>- Visualforce pages<br>- Lightning components<br>- External URLs<br><br>Each user can reorder or add items (unless personalisation is disabled by admin).	Config::UI	Salesforce Admin	Basic
<b>What can admins customise about a Lightning App through App Manager branding?</b><br><br><img src="Pasted image 20251117214851.png">	In App Manager, admins can customise:<br>- <b>Brand Image</b> (logo)<br>- <b>Nav Bar Colour</b><br>- <b>Navigation Items</b> (which tabs appear)<br>- <b>Utility Bar</b> items<br>- <b>Profiles</b> assigned to the app<br><br>Found at: Setup → Apps → App Manager → Edit App	Config::AppMgmt	Salesforce Admin	Basic
<b>What are Temporary Tabs in Lightning Experience?</b><br><br><img src="Pasted image 20251117215221.png">	Temporary Tabs open when a user clicks an item without a parent object in the nav bar.<br><br>- Identified by an <b>asterisk (*)</b> in the nav bar<br>- Can be made <b>permanent</b> by selecting "Add to Nav Bar"<br>- Help users access related info without leaving their current context	Config::UI	Salesforce Admin	Basic
<b>What is In-App Guidance and what are the prompt types?</b><br><br><img src="Pasted image 20251117215921.png">	In-App Guidance creates interactive tours to guide users through onboarding or feature introductions.<br><br><b>Three prompt types:</b><br>- <b>Floating</b> – Repositionable prompt<br>- <b>Docked</b> – Fixed to one corner<br>- <b>Targeted</b> – Points to a specific UI element<br><br>Still images and GIFs can be added. A direct link can be sent to users.	Config::UI	Salesforce Admin	Basic
<b>What does the In-App Guidance Builder allow admins to create?</b><br><br><img src="Pasted image 20251117220241.png">	The In-App Guidance Builder canvas allows admins to create:<br>- <b>Single prompts</b> (one pop-up tip)<br>- <b>Walkthroughs</b> (multi-step guided tours)<br><br>Guidance can be assigned to a specific record type, a specific page/app, or any page/app. A <b>myTrailhead subscription</b> is required for users to view more than 3 custom walkthroughs.	Config::UI	Salesforce Admin	Basic
<b>What are the four Sandbox types and their differences?</b><br><br><img src="Pasted image 20251118214142.png"><br><img src="Pasted image 20251118214153.png">	<table><tr><th>Type</th><th>Storage</th><th>Data</th><th>Refresh</th></tr><tr><td><b>Developer</b></td><td>200MB / 200MB</td><td>Metadata only</td><td>1 day</td></tr><tr><td><b>Developer Pro</b></td><td>1GB / 1GB</td><td>Metadata only</td><td>1 day</td></tr><tr><td><b>Partial Copy</b></td><td>5GB</td><td>Metadata + sample data</td><td>5 days</td></tr><tr><td><b>Full Copy</b></td><td>Same as Prod</td><td>All data</td><td>29 days</td></tr></table>	Config::Sandbox	Salesforce Admin	Basic
<b>What tools are available for deploying metadata between orgs?</b><br><br><img src="Pasted image 20251118214543.png">	Metadata deployment tools include:<br><ul><li><b>Change Sets</b> – Admin-friendly, UI-based tool for related org deployment</li><li><b>Salesforce CLI</b> – Command-line tool for developers</li><li><b>Metadata API</b> – Programmatic deployment</li><li><b>Ant Migration Tool</b> – Java-based tool using Ant</li><li><b>AppExchange Packages</b> – For distributing managed apps</li></ul>	Config::Sandbox	Salesforce Admin	Basic
<b>What does the Standard Object data model look like?</b><br><br><img src="Pasted image 20251031103547.png">	Standard Salesforce objects include:<br>- <b>Account</b> (parent of Contacts, Opportunities, Cases)<br>- <b>Contact</b> (person linked to Account)<br>- <b>Opportunity</b> (sales deal)<br>- <b>Case</b> (support request)<br>- <b>Lead</b> (unqualified prospect)<br>- <b>Campaign</b> (marketing initiative)<br><br>All come with Standard Fields and can be extended with Custom Fields.	ObjManager::DataModel	Salesforce Admin	Basic
<b>What is the difference between Standard and Custom Objects?</b><br><br><img src="Pasted image 20251123103506.png">	<table><tr><th>Standard Objects</th><th>Custom Objects</th></tr><tr><td>Pre-built by Salesforce</td><td>Created by the Administrator</td></tr><tr><td>Examples: Account, Contact, Lead, Opportunity, Case, Campaign</td><td>Anything: e.g., Job Candidate, Application, Vehicle</td></tr><tr><td>Used via Object Manager</td><td>Also managed via Object Manager</td></tr></table><br>Both come with Standard Fields and can be extended with Custom Fields.	ObjManager::Objects	Salesforce Admin	Basic
<b>What is the core Salesforce data model showing object relationships?</b><br><br><img src="Pasted image 20251123103624.png">	Salesforce uses two main relationship types:<br>- <b>Lookup</b> (loose, optional parent)<br>- <b>Master-Detail</b> (tight, required parent, cascading delete)<br><br>Relationships allow related data to be viewed on records through <b>Related Lists</b>.	ObjManager::DataModel	Salesforce Admin	Basic
<b>What is Account's relationship to Contacts, Opportunities, and Cases?</b><br><br><img src="Pasted image 20251123103955.png">	Account is the <b>parent object</b> of Contacts, Opportunities, and Cases.<br><ul><li>Account → Contact: Lookup (but behaves like Master-Detail)</li><li>Account → Opportunity: Lookup (deleting Account also deletes Opportunities)</li><li>Account → Case: Lookup</li></ul>	ObjManager::DataModel	Salesforce Admin	Basic
<b>What does the standard Account-Contact-Opportunity-Case relationship look like?</b><br><br><img src="Pasted image 20251123110303.png">	<b>Account</b> is at the centre, related to:<br>- Many <b>Contacts</b> (one Contact can relate to multiple Accounts if "Contacts to Multiple Accounts" is enabled)<br>- Many <b>Opportunities</b> (one-to-many)<br>- Many <b>Cases</b> (one-to-many)<br>- One <b>Contact</b> can relate to many Cases	ObjManager::DataModel	Salesforce Admin	Basic
<b>What records does Lead Conversion create?</b><br><br><img src="Pasted image 20251123110410.png">	Lead Conversion creates:<br><ol><li><b>Account</b> (new or existing)</li><li><b>Contact</b> (new or existing)</li><li><b>Opportunity</b> (optional — can be skipped)</li></ol><br>The Opportunity name is auto-generated. Owner of new records can be selected before converting.	ObjManager::Leads	Salesforce Admin	Basic
<b>What is the Campaign → Campaign Members relationship?</b><br><br><img src="Pasted image 20251123110537.png">	A <b>Campaign</b> can have many <b>Campaign Members</b>.<br><br>Campaign Members are the <b>Contacts or Leads</b> added to a campaign. Their status (e.g., "Sent", "Responded") tracks engagement.<br><br>The Lead Source field on Contacts/Leads can be linked back to the originating Campaign.	ObjManager::DataModel	Salesforce Admin	Basic
<b>What does the full Sales Cloud relationship model look like?</b><br><br><img src="Pasted image 20251123110804.png">	The main Sales Cloud relationships:<br>- <b>Campaign</b> → Campaign Members (Contacts/Leads)<br>- <b>Lead</b> → (converts to) Account + Contact + Opportunity<br>- <b>Account</b> → Contacts, Opportunities, Cases<br>- <b>Opportunity</b> → Opportunity Line Items (Products), Activities, Contacts	ObjManager::DataModel	Salesforce Admin	Basic
<b>What is Schema Builder in Salesforce?</b><br><br><img src="Pasted image 20251123110924.png">	Schema Builder is a <b>visual tool</b> for viewing and managing the Salesforce data model.<br><br>Allows admins to:<br>- View objects, fields, and relationships visually<br>- Create new objects, fields, and relationships directly on the canvas<br><br>Found at: Setup → Objects and Fields → Schema Builder	ObjManager::DataModel	Salesforce Admin	Basic
<b>What are the types of object relationships in Salesforce?</b><br><br><img src="Pasted image 20251123114302.png">	<ol><li><b>Lookup</b> – Loose link between objects. Child can exist without parent.</li><li><b>Master-Detail</b> – Tight link. Child requires parent. Cascading delete. Roll-Up Summaries enabled.</li><li><b>Many-to-Many</b> – Via a Junction Object with two Master-Detail relationships.</li><li><b>Hierarchical</b> – Only on User object (e.g., Manager field).</li><li><b>Self Relationship</b> – Lookup to the same object (e.g., Account → Parent Account).</li></ol>	ObjManager::Relationships	Salesforce Admin	Basic
<b>What does a Lookup Relationship look like and what are its key characteristics?</b><br><br><img src="Pasted image 20251123115122.png">	<b>Lookup Relationship:</b><br>- Loosely relates two objects<br>- Child CAN exist without a parent (optional field)<br>- No cascading delete<br>- Child has its own sharing/security rules<br>- No Roll-Up Summary fields<br><br>Example: Contact's "Account Name" field is a lookup to Account	ObjManager::Relationships	Salesforce Admin	Basic
<b>What is a Hierarchical Relationship in Salesforce and where is it used?</b><br><br><img src="Pasted image 20251123121025.png">	A Hierarchical Relationship is a special lookup that is <b>only available on the User object</b>.<br><br>It allows a User record to link to another User record (e.g., the Manager field), creating a management reporting hierarchy.<br><br>Used for org chart structures and manager-level approvals.	ObjManager::Relationships	Salesforce Admin	Basic
<b>What is a Self Relationship in Salesforce?</b><br><br><img src="Pasted image 20251123121140.png">	A <b>Self Relationship</b> is a Lookup field on an object that points <b>back to the same object</b>.<br><br>Example: An Account has a "Parent Account" field (a lookup to another Account).<br><br>Allows hierarchical grouping within a single object.	ObjManager::Relationships	Salesforce Admin	Basic
<b>What is a Many-to-Many relationship and how is it created?</b><br><br><img src="Pasted image 20251123123521.png"><br><img src="Pasted image 20251123123506.png">	A <b>Many-to-Many</b> relationship means records from Object A can relate to multiple records of Object B and vice versa.<br><br>Created using a <b>Junction Object</b> — a custom object with <b>two Master-Detail relationships</b>, one to each parent object.<br><br>Example: Teachers (many) ↔ Junction: Teacher-Class ↔ Classes (many)	ObjManager::Relationships	Salesforce Admin	Basic
<b>What is an overview of all Object Relationship types in Salesforce?</b><br><br><img src="Pasted image 20251123123707.png">	<table><tr><th>Type</th><th>Objects</th><th>Key Feature</th></tr><tr><td>Lookup</td><td>Any</td><td>Optional parent, own sharing rules</td></tr><tr><td>Master-Detail</td><td>Any</td><td>Required parent, cascading delete, Roll-Up</td></tr><tr><td>Many-to-Many</td><td>Custom (Junction)</td><td>Two Master-Details on one object</td></tr><tr><td>Hierarchical</td><td>User only</td><td>Self-referencing management chain</td></tr><tr><td>External</td><td>External objects</td><td>Links to data outside Salesforce</td></tr></table>	ObjManager::Relationships	Salesforce Admin	Basic
<b>What are Record Types used for in Salesforce?</b><br><br><img src="Pasted image 20251123123844.png">	Record Types allow different:<br>- <b>Picklist Values</b> (only specific values from the Master Picklist)<br>- <b>Page Layouts</b> (different field layouts per type)<br>- <b>Business Processes</b> (different stage/status values)<br><br>Assigned to <b>Profiles</b>. A profile can have a default record type and additional available types.	ObjManager::RecordTypes	Salesforce Admin	Basic
<b>What are important considerations when using Record Types with business processes?</b><br><br><img src="Pasted image 20251123123942.png">	<ul><li>Record types are linked to <b>Business Processes</b> (Sales, Lead, Support, Solution)</li><li>A business process must first be created before it can be assigned to a record type</li><li>Different picklist values can be set per record type</li><li>Page layouts can differ per record type</li><li><b>⚠ Record types do NOT impact sharing settings</b></li></ul>	ObjManager::RecordTypes	Salesforce Admin	Basic
<b>How are Record Types assigned to profiles?</b><br><br><img src="Pasted image 20251123124025.png">	Record types are assigned at the <b>Profile</b> level:<br>- One record type per object can be set as the <b>Default Record Type</b><br>- Additional record types can be made <b>available</b> to the profile<br>- When creating a record, users with multiple available types are prompted to choose<br>- Users with only one assigned type skip the prompt	ObjManager::RecordTypes	Salesforce Admin	Basic
<b>What determines a user's access to Record Types?</b><br><br><img src="Pasted image 20251123124145.png">	A user's access to record types is determined by their <b>Profile</b>.<br><br>The profile defines:<br>- Which record types are <b>available</b><br>- Which is the <b>default</b> record type<br><br>Permission Sets can also be used to grant access to additional record types.	ObjManager::RecordTypes	Salesforce Admin	Basic
<b>Does Record Type assignment affect sharing settings?</b><br><br><img src="Pasted image 20251123124238.png">	<b>⚠ NO — Record Type assignment does NOT have any impact on users' sharing settings.</b><br><br>Record types only control what picklist values, page layouts, and business processes the user sees when working with a record. Sharing is controlled separately by OWD, Role Hierarchy, and Sharing Rules.	ObjManager::RecordTypes	Salesforce Admin	Basic
<b>What happens when a Custom Field's data type is changed?</b><br><br><img src="Pasted image 20251124171330.png">	⚠ <b>Data loss may occur</b> when changing a custom field's type.<br><br>Some conversions are safe (e.g., Text → Text Area), but others will <b>delete existing data</b> in that field (e.g., converting a Picklist to a Text field).<br><br>Always check field type compatibility before changing. Salesforce will warn you before confirming.	ObjManager::Fields	Salesforce Admin	Basic
<b>What is a Global Value Set in Salesforce?</b><br><br><img src="Pasted image 20251124171710.png">	A <b>Global Value Set</b> allows picklist values to be defined <b>once</b> and reused across multiple custom picklist fields on any object.<br><br>⚠ These do NOT exist: Common Picklists, Reusable Picklists.<br>⚠ <b>Master Picklist</b> = used with Record Types to define all possible values (not for reuse across objects).	ObjManager::Picklists	Salesforce Admin	Basic
<b>How do Picklist values interact with Record Types?</b><br><br><img src="Pasted image 20251227205416.png">	Picklist values can be defined separately for each Record Type.<br><ul><li>Values do NOT need to be added to all record types</li><li>When picklist values are added, they are <b>active by default</b></li><li>Permissions for individual picklist values are <b>NOT controlled by Profiles</b></li></ul>	ObjManager::Picklists	Salesforce Admin	Basic
<b>What is the difference between COUNT and SUM Roll-Up Summary fields?</b><br><br><img src="Pasted image 20251228003039.png">	<b>COUNT</b> – Counts the number of child records (e.g., number of Job Applications linked to a Job).<br><br><b>SUM</b> – Adds up a numeric field across all child records (e.g., total revenue from all related Opportunities).<br><br>Both require a <b>Master-Detail relationship</b>. FLS can control who sees these fields.	ObjManager::RollUp	Salesforce Admin	Basic
<b>How are different page layouts assigned via Record Types?</b><br><br><img src="Pasted image 20251228002812.png">	In the Record Type setup, you assign a <b>Page Layout per profile per record type</b>.<br><br>This means:<br>- Different profiles can see different layouts for the same record type<br>- The same profile can see different layouts for different record types<br><br>This is the main way to show/hide fields for different user groups.	ObjManager::RecordTypes	Salesforce Admin	Basic
<b>What are the four Business Processes in Salesforce?</b><br><br><img src="Pasted image 20251227204714.png"><br><img src="Pasted image 20251227204732.png">	Business Processes define which <b>Stage or Status picklist values</b> appear for a given object and record type:<br><ol><li><b>Sales Process</b> → Opportunity (Stage field)</li><li><b>Lead Process</b> → Lead (Status field)</li><li><b>Support Process</b> → Case (Status field)</li><li><b>Solution Process</b> → Solution (Status field)</li></ol><br>Each process can be linked to multiple Record Types.	ObjManager::BusinessProcess	Salesforce Admin	Basic
<b>What is the Path feature and what does it look like in Lightning Experience?</b><br><br><img src="Pasted image 20251228002957.png"><br><img src="Pasted image 20251229213636.png">	Path provides a <b>visual guidance bar</b> showing which stage a record is in and what steps are needed to progress.<br><br>- Based on any existing picklist field<br>- Must be placed on the page via Lightning App Builder<br>- Key fields can be shown at each step<br>- Available on: Leads, Opportunities, Quotes, Contracts, Orders, Custom Objects<br>- <b>Lightning Experience and Salesforce Mobile only</b>	ObjManager::Path	Salesforce Admin	Basic
<b>What are the steps involved in using the Data Import Wizard?</b><br><br><img src="Pasted image 20251122185718.png">	Data Import Wizard steps:<br><ol><li>Select the object (Account, Contact, Lead, etc.)</li><li>Choose what to do (Insert / Update / Upsert)</li><li>Select matching criteria (for duplicate detection)</li><li>Upload the CSV file</li><li>Map CSV columns to Salesforce fields</li><li>Review and start the import</li></ol><br>Limited to <b>50,000 records</b>. Accesed from Setup menu.	Data::Import	Salesforce Admin	Basic
<b>What additional settings can be configured during a Data Import Wizard job?</b><br><br><img src="Pasted image 20251122185944.png">	Import settings include options to:<br>- <b>Trigger assignment rules</b> (for Cases/Leads)<br>- <b>Trigger workflow rules and processes</b> (optional)<br>- <b>Choose matching logic</b> for duplicate detection<br>- Map relationships to other records using IDs<br><br>These settings help control automation behaviour during import.	Data::Import	Salesforce Admin	Basic
<b>What are the steps when using Data Loader for Insert/Update/Upsert?</b><br><br><img src="Pasted image 20251122191844.png">	Data Loader operation steps:<br><ol><li>Select operation (Insert, Update, Upsert, Delete, Export)</li><li>Authenticate / log in</li><li>Select the object</li><li>Browse to the CSV file</li><li>Map CSV columns to Salesforce fields</li><li>Run the operation</li><li>Review success/error logs</li></ol>	Data::Import	Salesforce Admin	Basic
<b>What are the steps to import articles using the Import Articles Tool?</b><br><br><img src="Pasted image 20251122192836.png">	Import Articles tool steps:<br><ol><li>Prepare a .zip file containing: .csv article file + .properties file (+ any HTML/images)</li><li>Navigate to: Setup → Knowledge → Import Articles</li><li>Upload the .zip</li><li>Map fields</li><li>Review and complete the import</li></ol><br>Multiple article record types can be imported at once in Lightning Knowledge.	Data::Import	Salesforce Admin	Basic
<b>What records are also transferred when reassigning account ownership?</b><br><br><img src="Pasted image 20251122194028.png">	When transferring Account ownership, the following are also transferred:<br>- <b>Contacts</b><br>- <b>Open Opportunities</b><br>- <b>Notes</b><br>- <b>Contracts</b> (Draft + In Approval Process)<br>- <b>Orders</b> (Draft status)<br>- <b>Attachments</b><br>- <b>Open Activities</b>	Data::Mgmt	Salesforce Admin	Basic
<b>What related records are deleted during a Mass Delete?</b><br><br><img src="Pasted image 20251122194441.png">	When Mass Deleting, related records are also deleted. For example:<br>- Deleting <b>Accounts</b> → also deletes related Contacts, Opportunities, and Cases<br>- Deleting <b>Leads</b> → also deletes related activities<br><br>⚠ Use filters to target specific records. Records can optionally bypass the Recycle Bin permanently.	Data::Mgmt	Salesforce Admin	Basic
<b>What happens to deleted records and what are the Recycle Bin storage limits?</b><br><br><img src="Pasted image 20251122194710.png"><br><img src="Pasted image 20251122194831.png">	Deleted records go to the <b>Recycle Bin</b>.<br><br>- Can be <b>Restored</b> (undeleted) or <b>Permanently Deleted</b><br>- Records auto-delete from Recycle Bin after <b>15 days</b><br>- Storage limit: <b>25x your data storage in MB</b> (minimum 250MB)<br><br>Data Loader "Export All" includes Recycle Bin records.	Data::Mgmt	Salesforce Admin	Basic
<b>What data quality and management tools are available in Salesforce?</b><br><br><img src="Pasted image 20251122195146.png">	Data quality tools include:<br>- <b>Validation Rules</b> – Enforce data standards on save<br>- <b>Duplicate Rules &amp; Matching Rules</b> – Prevent/manage duplicates<br>- <b>Data Import Wizard</b> – Guided import with duplicate detection<br>- <b>Data Loader</b> – Bulk operations<br>- <b>Reports</b> – Identify missing or inconsistent data<br>- <b>Mass Transfer / Mass Delete</b> – Bulk record management	Data::DataQuality	Salesforce Admin	Basic
<b>What are Big Objects in Salesforce?</b><br><br><img src="Pasted image 20251122195651.png">	<b>Big Objects</b> allow massive amounts of data to be stored in Salesforce (up to 1 million records in standard Big Objects; billions with purchased capacity).<br><br>Used for archiving historical data that doesn't need to be in the main data storage.<br><br>Can be queried using SOQL with some limitations.	Data::Storage	Salesforce Admin	Basic
<b>What determines the report format in Salesforce and what are the four types?</b><br><br><img src="Pasted image 20251123172137.png">	Report format is <b>NOT explicitly selected</b> — it adapts automatically based on groupings configured:<br><ol><li><b>Tabular</b> – No groupings, simple list</li><li><b>Summary</b> – Row groupings (subtotals per group)</li><li><b>Matrix</b> – Row AND column groupings</li><li><b>Joined</b> – Multiple blocks, different report types</li></ol>	Data::Reports	Salesforce Admin	Basic
<b>What are the Report Formats and when does Salesforce use each?</b><br><br><img src="Pasted image 20251123173220.png">	<table><tr><th>Format</th><th>When Used</th></tr><tr><td><b>Tabular</b></td><td>No groupings → just columns</td></tr><tr><td><b>Summary</b></td><td>At least one row grouping added</td></tr><tr><td><b>Matrix</b></td><td>Row AND column groupings added</td></tr><tr><td><b>Joined</b></td><td>Multiple report blocks added</td></tr></table>	Data::Reports	Salesforce Admin	Basic
<b>What tools are available in the Report Builder for customising data?</b><br><br><img src="Pasted image 20251123173303.png">	Report Builder tools:<br>- <b>Filters</b> – Standard, Cross, Row Limit, Field-to-Field<br>- <b>Bucket Fields</b> – Group values into named ranges (max 5 per report)<br>- <b>Summary Fields</b> – SUM, AVG, MIN, MAX, MEDIAN on numeric columns<br>- <b>Row-Level Formulas</b> – Custom calculation per row (only 1 per report)<br>- <b>Conditional Highlighting</b> – Colour-code summarised values	Data::Reports	Salesforce Admin	Basic
<b>What chart types are available in Salesforce Reports?</b><br><br><img src="Pasted image 20251123184055.png">	Available chart types:<br>- <b>Bar</b> – Compare distance/time (single grouping, horizontal)<br>- <b>Column</b> – Relative counts/comparisons (vertical)<br>- <b>Line</b> – Changes over time<br>- <b>Donut</b> – Proportion of groups in a whole<br>- <b>Funnel</b> – Flow through ordered process stages<br>- <b>Scatter</b> – Data grouped by summarised values<br>- <b>Stacked Bar/Column</b> – Multi-grouping breakdowns	Data::Reports	Salesforce Admin	Basic
<b>What components make up a Salesforce Dashboard?</b><br><br><img src="Pasted image 20251123185904.png">	Dashboards are built from three elements:<br>- <b>Source Reports</b> – The report whose data a widget displays<br>- <b>Widgets</b> – Chart/Table (from Summary/Matrix/Tabular reports), Rich Text, or Image<br>- <b>Filters</b> – Allow dashboard viewers to narrow the data without editing<br><br>Data is shown as of the last refresh.	Data::Dashboards	Salesforce Admin	Basic
<b>How can Dashboards be refreshed and what are the options?</b><br><br><img src="Pasted image 20251123190208.png">	<b>Manual:</b> Click "Refresh" button on the dashboard<br><br><b>Scheduled:</b> Set a recurring schedule per dashboard — options are <b>Daily, Weekly, or Monthly</b><br><br>You can also subscribe to receive a dashboard snapshot email on schedule.	Data::Dashboards	Salesforce Admin	Basic
<b>What is the Case Management life cycle in Salesforce?</b><br><br><img src="Pasted image 20251121183909.png">	The Case life cycle is managed through three phases:<br><table><tr><th>Case Creation</th><th>Case Management</th><th>Case Collaboration</th></tr><tr><td>Manual, Email-to-Case, Web-to-Case, Auto-Response, Assignment Rules</td><td>Support Processes, Service Console, Milestones, Knowledge</td><td>Case Feed, Case Comments, Case Emails</td></tr></table>	Service::Cases	Salesforce Admin	Basic
<b>What features does the Service Console support?</b><br><br><img src="Pasted image 20251121192002.png"><br><img src="Pasted image 20251121192444.png">	The Service Console provides a unified UI for support agents with:<br>- <b>Multi-tab navigation</b> (open many records simultaneously)<br>- <b>Split-view / sidebar panels</b><br>- <b>Case Feed</b> for collaboration<br>- <b>Knowledge</b> articles panel<br>- <b>Omni-Channel</b> widget in utility bar<br>- <b>Macros</b> for repeatable actions<br>- <b>Activity Timeline</b>	Service::Console	Salesforce Admin	Basic
<b>What are Case Comments and who can see them?</b><br><br><img src="Pasted image 20251121193414.png">	Case Comments are stored on the case under the Related Items section.<br><br>- <b>Internal comments</b> – Visible only to internal users (not customers)<br>- <b>Public comments</b> – Tick the "Public" checkbox before saving; visible to customers via Community/Portal<br><br>An email alert is sent to the case owner when a Contact adds a new comment.	Service::Cases	Salesforce Admin	Basic
<b>What are Case Assignment Rules and how are they triggered?</b><br><br><img src="Pasted image 20251121194947.png">	Case Assignment Rules automatically assign Cases to a <b>user or queue</b> based on defined criteria.<br><br>Triggered when:<br>- A case is <b>created</b> (if assignment rule checkbox is enabled)<br>- User manually ticks <b>"Assign Using Active Assignment Rule"</b> before saving a case	Service::Cases	Salesforce Admin	Basic
<b>What is Omni-Channel and how does the Omni Supervisor work?</b><br><br><img src="Pasted image 20251121195238.png"><br><img src="Pasted image 20251121195249.png">	<b>Omni-Channel</b> routes work to the most qualified available agents automatically. Found in the Service Console Utility Bar.<br><br><b>Omni Supervisor:</b><br>- Monitors agent workloads and capacity in real-time<br>- Shows agent online/offline status duration<br>- Manages queues, skills, and work assignments<br>- The Agents tab shows capacity and assigned work	Service::OmniChannel	Salesforce Admin	Basic
<b>What is Omni-Channel Flow and what routing does it support?</b><br><br><img src="Pasted image 20251121195416.png"><br><img src="Pasted image 20251121195452.png">	<b>Omni-Channel Flow</b> brings Omni-Channel routing functionality inside a Salesforce Flow.<br><br>Supports routing for:<br>- Voice calls, Chats, Messaging<br>- Cases, Leads, Custom Objects<br><br>For non-real-time objects, a <b>subflow</b> can invoke the Omni-Channel flow routing.	Service::OmniChannel	Salesforce Admin	Basic
