#separator:tab
#html:true
#tags column:3
#deck column:4
#notetype column:5

Front	Back	Tags	Deck	Note Type
<b>[MCQ] An administrator wants to eliminate duplicate picklist values across many objects. Which feature should they use?</b><br><br>A. Reusable Picklists<br>B. Global Value Sets<br>C. Master Picklists<br>D. Common Picklists	✅ <b>B. Global Value Sets</b><br><br><b>Explanation:</b> Global Value Sets allow a set of picklist values to be defined once and reused across multiple custom picklist fields on any object.<br><br>❌ Common Picklists and Reusable Picklists do not exist as features.<br>❌ Master Picklists is a feature used with Record Types to define all possible values.	Config::Picklists	Salesforce Admin	Basic
<b>What is the difference between Freeze and Deactivate a user?</b>	<table><tr><th>Feature</th><th>Freeze</th><th>Deactivate</th></tr><tr><td>Login Blocked?</td><td>✅ Yes</td><td>✅ Yes</td></tr><tr><td>License Freed?</td><td>❌ No</td><td>✅ Yes</td></tr><tr><td>Use Case</td><td>Temporary block (when deactivation is blocked by dependencies)</td><td>Standard offboarding</td></tr></table><br><b>Users can NEVER be deleted</b> in Salesforce to preserve audit trails.	Config::UserMgmt	Salesforce Admin	Basic
<b>[MCQ] A sales rep has left the company. What should the admin do to prevent them from logging in?</b><br><br>A. Delete the user record<br>B. Delete the account record<br>C. Deactivate the user record<br>D. Deactivate the account record	✅ <b>C. Deactivate the user record</b><br><br><b>Explanation:</b> Salesforce does NOT allow deletion of users as it would create orphaned records. Deactivating the user prevents login and preserves all historical activity and records.<br><br>❌ Account record refers to a business account (customer), not the login account.	Config::UserMgmt	Salesforce Admin	Basic
<b>What are the required fields when creating a new user in Salesforce?</b>	<ul><li>Last Name</li><li>Alias</li><li>Nickname</li><li>Email</li><li>Username</li><li>User License</li><li>Profile</li></ul><br><b>Note:</b> Usernames must be unique org-wide and in email format, but do NOT need to be a valid email address.	Config::UserMgmt	Salesforce Admin	Basic
<b>What does Login History show and where is it found?</b>	Login History shows details of past login attempts including login status (success/failure reason), timestamp, and method.<br><br><b>Location:</b> Related list on the User record OR Setup → Login History<br><br>Shows up to <b>20,000 records</b> for the past <b>6 months</b>. Can be downloaded as CSV or GZIP.	Config::Security	Salesforce Admin	Basic
<b>[MCQ] All internal users are prompted to verify their identity when logging in from a new device. How can this behavior be modified?</b><br><br>A. Device Activation can be turned off for all users in settings<br>B. Device Activation can be deactivated for individual users on the user record<br>C. No — all users must always verify on a new device<br>D. Device Activation can be bypassed by adding trusted IP ranges	✅ <b>D. Device Activation can be bypassed by adding trusted IP ranges</b><br><br><b>Explanation:</b> If a user logs in from an IP address within a trusted IP range configured in the org, the device activation prompt is bypassed.	Config::Security	Salesforce Admin	Basic
<b>What is the Security Health Check in Salesforce?</b>	A Salesforce tool that analyses your org's <b>security posture</b> by comparing settings against Salesforce-recommended baseline values.<br><br>Found at: <b>Setup → Security → Health Check</b><br><br>Score ranges:<br>- 90–100% = Excellent<br>- 80–89% = Good<br>- 70–79% = Fair<br>- Below 70% = Poor / At Risk<br><br>Settings are grouped as High, Medium, Low risk and Informational.	Config::Security	Salesforce Admin	Basic
<b>[MCQ] A Salesforce Administrator is setting up password policies. Which statements are CORRECT?</b><br><br>A. Default password length is 8 characters; can be changed from 3–100<br>B. Lockout effective period can be set to 'Forever'<br>C. Password history enforcement can be modified<br>D. Password complexity always requires numbers, uppercase, lowercase, and special characters	✅ <b>B and C</b><br><br><b>Explanation:</b><br>✅ Lockout period options: 15 min, 30 min, 60 min, or <b>Forever</b>.<br>✅ Password history CAN be configured.<br>❌ Minimum password length is limited to <b>5–50</b> characters (not 3–100).<br>❌ Complexity requirements vary by policy; special characters are not always mandatory.	Config::Security	Salesforce Admin	Basic
<b>What is the difference between App Launcher, App Manager, and App Menu?</b>	<table><tr><th>Term</th><th>Who Uses It</th><th>Purpose</th></tr><tr><td><b>App Launcher</b></td><td>User</td><td>Top-left waffle icon. Users switch between apps and find items.</td></tr><tr><td><b>App Manager</b></td><td>Admin</td><td>Setup → Apps → App Manager. Create/edit apps, set branding, navigation, profiles.</td></tr><tr><td><b>App Menu</b></td><td>Admin</td><td>Setup → Apps → App Menu. Reorder or hide apps from the App Launcher.</td></tr></table>	Config::AppMgmt	Salesforce Admin	Basic
<b>What is a Sandbox in Salesforce?</b>	A <b>separate environment</b> that contains a copy of a production org used for development and testing. Ensures no disruption to production.<br><br>Four types:<br>- <b>Developer</b> – Smallest, metadata only, instant refresh<br>- <b>Developer Pro</b> – More storage, metadata only<br>- <b>Partial Copy</b> – Metadata + subset of data<br>- <b>Full Copy</b> – Complete copy of production including all data	Config::Sandbox	Salesforce Admin	Basic
<b>What are Change Sets used for in Salesforce?</b>	Change Sets are used to <b>deploy metadata</b> between related sandbox and production orgs through a deployment connection.<br><br>- Created in the source org by adding metadata components<br>- Must be uploaded before deployment<br>- Validation of components is possible before deployment<br>- Inbound/Outbound change sets used for metadata deployment	Config::Sandbox	Salesforce Admin	Basic
<b>What is the difference between Global Actions and Object-Specific Actions?</b>	<table><tr><th></th><th>Global Action</th><th>Object-Specific Action</th></tr><tr><td>Where Used</td><td>Any page (Home, Chatter, object pages)</td><td>Specific object pages only</td></tr><tr><td>Record Relationship</td><td>No automatic relationship to other records</td><td>Auto-associated with the parent record</td></tr><tr><td>Config</td><td>Setup → Global Actions</td><td>Object's page layout Publisher Actions</td></tr></table>	Config::Actions	Salesforce Admin	Basic
<b>What is In-App Guidance in Salesforce?</b>	In-App Guidance allows admins to create <b>interactive prompts and walkthroughs</b> to guide users through onboarding or feature introduction.<br><br>Three prompt types: <b>Floating, Docked, Targeted</b><br><br>A <b>myTrailhead subscription</b> is required for users to be assigned permission to view more than 3 custom walkthroughs.	Config::UI	Salesforce Admin	Basic
<b>What is a Pinned List View?</b>	A pinned list view is the specific view a user has chosen to see <b>every time they land on that object's tab</b>.<br><br>If no list view is pinned, Salesforce defaults to the last view the user accessed (Recently Viewed List).	Config::ListViews	Salesforce Admin	Basic
<b>What is Kanban View in Salesforce?</b>	Kanban View is a list view displayed as a <b>visual summary of records grouped by a status field</b> and summarised by a revenue field.<br><br>- Records are grouped and summarised<br>- <b>Opportunity deal change highlights</b> can show recent changes to amounts/close dates<br>- Available in <b>Lightning Experience Unlimited Edition only</b>	Config::ListViews	Salesforce Admin	Basic
<b>What is Einstein Search in Salesforce?</b>	Einstein Search is <b>enabled by default</b> and provides:<br><ul><li><b>Search Personalisation</b> – Results based on most relevant records</li><li><b>Instant Actionable Results</b> – Suggested records and actions visible while typing</li><li><b>Natural Language Search (NLP)</b> – Common phrases automatically turned into filters</li></ul><br>Available in Essentials, Professional, Enterprise, Performance, and Unlimited editions.	Config::Search	Salesforce Admin	Basic
<b>What are the three types of search in Salesforce?</b>	<ol><li><b>Global Search</b> – Searches most objects across the org via the top search bar</li><li><b>List View Search</b> – Searches within a specific list view (limited to first 2,000 records)</li><li><b>Lookup Search</b> – Searches related records from a lookup field on a record</li></ol>	Config::Search	Salesforce Admin	Basic
<b>What is the Lightning App Builder?</b>	A tool used to customise Lightning Apps via pages, components, and settings. Used for:<br><ul><li>Building and configuring <b>Lightning App, Home, and Record pages</b></li><li>Adding and configuring components</li><li>Setting <b>component visibility rules</b> (dynamic pages)</li><li>Managing app settings (branding, navigation)</li></ul>	Config::UI	Salesforce Admin	Basic
<b>What is the Org-Wide Default (OWD)?</b>	OWD is the <b>baseline access level</b> for every record of a specific object across the entire org. It is the <b>most restrictive</b> layer of the sharing model.<br><br>- <b>Private</b> – Users can only see records they own<br>- <b>Public Read Only</b> – All users can see all records, but only owners can edit<br>- <b>Public Read/Write</b> – All users can see and edit all records<br><br>OWD can only <b>restrict</b> access, never grant beyond what sharing rules/role hierarchy provide.	Security::OWD	Salesforce Admin	Basic
<b>What is the Role Hierarchy in Salesforce?</b>	The Role Hierarchy provides <b>vertical access</b> to records. Users automatically get access to all records owned by users <b>below</b> them in the hierarchy.<br><br>- Vertical = up the hierarchy (manager sees subordinate's records)<br>- Does NOT work horizontally across branches<br>- "Grant Access Using Hierarchies" can be disabled for custom objects	Security::RoleHierarchy	Salesforce Admin	Basic
<b>What are Sharing Rules in Salesforce?</b>	Sharing Rules create <b>exceptions to the OWD</b> to open up record access <b>horizontally</b> for groups of users.<br><br>Two types:<br>- <b>Owner-based</b> – Share records owned by specific users/roles<br>- <b>Criteria-based</b> – Share records meeting specific field criteria<br><br>⚠ Sharing Rules can NEVER be more restrictive than the OWD.	Security::SharingRules	Salesforce Admin	Basic
<b>[MCQ] A Salesforce Administrator needs to make exceptions for Account record access in a private sharing model. Which features can be used? (Select all that apply)</b><br><br>A. Account Teams<br>B. Manual Sharing<br>C. Sharing Rules<br>D. Sharing Exception Rules<br>E. Field Permission	✅ <b>A, B, and C</b><br><br><b>Explanation:</b><br>✅ Account Teams, Manual Sharing, and Sharing Rules can all grant access to Account records.<br>❌ "Sharing Exception Rules" does not exist in Salesforce.<br>❌ Field Permissions (FLS) controls field visibility, not record access.	Security::SharingRules	Salesforce Admin	Basic
<b>What can be included in a Public Group?</b>	A Public Group can include:<br><ul><li>Individual <b>Users</b></li><li><b>Roles</b> (and optionally subordinates)</li><li>Other <b>Public Groups</b></li><li>Users assigned to specific <b>Territories</b></li></ul><br>⚠ <b>Profiles and Permission Sets CANNOT be included</b> in a Public Group — they control what users can DO, not which records are shared.	Security::PublicGroups	Salesforce Admin	Basic
<b>What is the difference between Object-Level and Record-Level Access?</b>	<b>Object-Level Access</b> (controlled by Profile/Permission Set):<br>- WHETHER a user can interact with an object at all<br>- Permissions: Read, Create, Edit, Delete, View All, Modify All<br><br><b>Record-Level Access</b> (controlled by OWD, Role Hierarchy, Sharing Rules):<br>- WHICH specific records of that object the user can see<br>- Only comes into play AFTER object-level access is granted	Security::AccessModel	Salesforce Admin	Basic
<b>[MCQ] A user has Read object-level access to Accounts. What records will they see?</b><br><br>A. Records owned by the user and users in the same role<br>B. All account records<br>C. Depends on the sharing model and the user's role<br>D. Only records owned by the user	✅ <b>C. Depends on the sharing model and the user's role</b><br><br><b>Explanation:</b> Object-level access (Profile) determines IF a user can see the object. The OWD and Role Hierarchy determine WHICH specific records they can access. These are two separate layers.	Security::AccessModel	Salesforce Admin	Basic
<b>[MCQ] Which features control record-level sharing in Salesforce? (Select all that apply)</b><br><br>A. Profiles<br>B. OWD Settings<br>C. Permission Sets<br>D. Role Hierarchy<br>E. Sharing Rules	✅ <b>B, D, and E</b><br><br><b>Explanation:</b><br>✅ OWD, Role Hierarchy, and Sharing Rules all control which records users can access.<br>❌ Profiles and Permission Sets control object-level and field-level access, not record sharing.	Security::AccessModel	Salesforce Admin	Basic
<b>What is Field-Level Security (FLS)?</b>	FLS controls the <b>visibility and editability of individual fields</b> on an object. Configured via Profiles and Permission Sets.<br><br>Settings: <b>Visible</b> (read + edit), <b>Read-Only</b>, or <b>Hidden</b><br><br>Example: A user may have Read access to the Lead object but cannot see the "Rating" field if FLS hides it.<br><br>Even if FLS allows seeing a field, the user must also have Record-Level access to see the record itself.	Security::FLS	Salesforce Admin	Basic
<b>What is the difference between a Profile and a Permission Set?</b>	<table><tr><th></th><th>Profile</th><th>Permission Set</th></tr><tr><td>Assignment</td><td>Every user MUST have exactly one</td><td>Can have zero or many per user</td></tr><tr><td>Purpose</td><td>Baseline access definition</td><td>Extends access BEYOND the profile</td></tr><tr><td>Direction</td><td>Defines the base</td><td>Additive only (cannot restrict)</td></tr><tr><td>Modify Standard</td><td>Standard Profiles CANNOT be modified</td><td>N/A</td></tr></table>	Security::ProfilesPermSets	Salesforce Admin	Basic
<b>What is Login Access Policy in Salesforce?</b>	Login Access Policies are org-wide settings that control:<br><ul><li>Whether admins can log in as any user</li><li>How long users can grant login access</li><li>Whether users can see the "Grant Access" options</li></ul><br><b>Admin "Login as Any User":</b> Setup → Login Access Policies → Enable<br><b>User-Granted Access:</b> User Settings → Grant Account Login Access	Security::LoginAccess	Salesforce Admin	Basic
<b>What are the two types of object relationships in Salesforce?</b>	<b>1. Lookup Relationship (loose):</b><br>- Child can exist without parent (optional)<br>- No cascading delete<br>- Child has its own sharing rules<br>- No Roll-Up Summaries<br><br><b>2. Master-Detail Relationship (tight):</b><br>- Child REQUIRES parent (required field)<br>- Deleting parent deletes all children<br>- Child inherits parent's sharing/security<br>- Enables Roll-Up Summary Fields	ObjManager::Relationships	Salesforce Admin	Basic
<b>What is a Roll-Up Summary Field?</b>	A Roll-Up Summary field is created on the <b>Master (Parent)</b> object to display an aggregate value from its related <b>Detail (Child)</b> records.<br><br>Requires a <b>Master-Detail relationship</b> (not available for Lookup).<br><br>Functions: <b>COUNT, SUM, MIN, MAX</b><br><br>Example: Total value of all Opportunities on an Account.	ObjManager::RollUp	Salesforce Admin	Basic
<b>[MCQ] An admin needs to track the total number of Job Applications linked to each Job record. Which field type should be created on the Job object?</b><br><br>A. Formula Field<br>B. Cross-Object Formula<br>C. Roll-Up Summary Field (Count)<br>D. Lookup Field	✅ <b>C. Roll-Up Summary Field (Count)</b><br><br><b>Explanation:</b> Roll-Up Summary fields aggregate child records (COUNT, SUM, MIN, MAX). A COUNT type would count all related Job Application records. This requires a Master-Detail relationship between Job and Job Application.	ObjManager::RollUp	Salesforce Admin	Basic
<b>What is a Junction Object?</b>	A Junction Object is a custom object used to create a <b>Many-to-Many relationship</b> between two objects.<br><br>It has two Master-Detail relationships — one to each parent object.<br><br>Example: A "Teacher-Class" junction object allows many Teachers to be related to many Classes and vice versa.	ObjManager::Relationships	Salesforce Admin	Basic
<b>In a Master-Detail relationship between a Standard Object and a Custom Object, which object must be the parent?</b>	The <b>Standard Object</b> must always be on the <b>master (parent)</b> side of the relationship when one of the objects is a standard object.	ObjManager::Relationships	Salesforce Admin	Basic
<b>What is a Hierarchical Relationship in Salesforce?</b>	A Hierarchical Relationship is a special type of lookup relationship that is <b>only available on the User object</b>. It allows a user record to link to another user record, creating a management hierarchy (e.g., Manager field on User).	ObjManager::Relationships	Salesforce Admin	Basic
<b>What is a Schema Builder?</b>	Schema Builder is a tool in Salesforce that allows admins to <b>visually view and manage the data model</b>, including:<br><ul><li>Viewing objects, fields, and relationships visually</li><li>Creating objects, fields, and relationships</li></ul><br>Found in: Setup → Objects and Fields → Schema Builder	ObjManager::DataModel	Salesforce Admin	Basic
<b>What is Lead Conversion in Salesforce?</b>	Lead Conversion creates:<br><ul><li>A new <b>Account</b> (or matches existing)</li><li>A new <b>Contact</b> (or matches existing)</li><li>Optionally a new <b>Opportunity</b> (can be skipped by ticking "Do not create opportunity")</li></ul><br>The opportunity name is <b>auto-generated</b>. The owner of the new records can be selected before converting.<br><br>Users need "View and Edit Converted Leads" permission to see converted leads.	ObjManager::Leads	Salesforce Admin	Basic
<b>What are Record Types used for?</b>	Record Types allow different <b>picklist values, page layouts, and business processes</b> to be defined for the same object based on user profiles.<br><br>Used when one object serves multiple purposes (e.g., a Case for IT Support vs. Customer Complaints).<br><br>⚠ Record Types do NOT control or impact a user's sharing settings.	ObjManager::RecordTypes	Salesforce Admin	Basic
<b>What are the four Salesforce Business Processes?</b>	Business processes control the <b>Stage/Status picklist values</b> available on certain objects:<br><ol><li><b>Sales Process</b> – Opportunity (Stage)</li><li><b>Lead Process</b> – Lead (Status)</li><li><b>Support Process</b> – Case (Status)</li><li><b>Solution Process</b> – Solution (Status)</li></ol><br>A business process can be associated with multiple record types.	ObjManager::BusinessProcess	Salesforce Admin	Basic
<b>What is the Path feature in Salesforce?</b>	Path provides <b>visual guidance</b> to help users move through steps in a business process in Lightning Experience.<br><br>- Based on any existing picklist field<br>- A path can be defined per record type<br>- Must be placed on the page via Lightning App Builder<br>- Available for: Leads, Opportunities, Quotes, Contracts, Orders, and Custom Objects<br>- Lightning Experience and Salesforce mobile app only	ObjManager::Path	Salesforce Admin	Basic
<b>What is Dynamic Forms in Salesforce?</b>	Dynamic Forms let admins customise record pages at the <b>individual field and section level</b> in the Lightning App Builder, with conditional visibility rules.<br><br>Instead of 10 different Page Layouts, you can use ONE page that adapts based on:<br>- Field values<br>- User attributes<br>- Device type<br><br>⚠ <b>Lightning-only feature.</b> Does NOT manage Related Lists or Buttons (use Dynamic Related Lists and Dynamic Actions for those).	ObjManager::DynamicForms	Salesforce Admin	Basic
<b>What is Field History Tracking?</b>	Field History Tracking automatically records:<br>- Old value → New value<br>- Who made the change<br>- Date and time of the change<br><br>Limits: Up to <b>20 standard or custom fields</b> per object can be tracked.<br><br>History is viewable from the History related list on the record.	ObjManager::FieldHistory	Salesforce Admin	Basic
<b>What is a Global Value Set (Picklist)?</b>	A Global Value Set allows a set of picklist values to be <b>defined once and reused</b> across multiple custom picklist fields on any object.<br><br>⚠ Common Picklists and Reusable Picklists do not exist. Master Picklists is used with Record Types to define all possible picklist values.	ObjManager::Picklists	Salesforce Admin	Basic
<b>What is a Dependent Picklist?</b>	A Dependent Picklist is a picklist whose available values change based on the value selected in a <b>Controlling Field</b>.<br><br>- Controlling field can be a <b>Picklist</b> or a <b>Checkbox</b><br>- Only a custom picklist or multi-select picklist can be the <b>dependent field</b><br><br>Example: Selecting "France" in Country shows only French regions in the State field.	ObjManager::Picklists	Salesforce Admin	Basic
<b>What is the difference between a Formula Field and a Roll-Up Summary Field?</b>	<table><tr><th></th><th>Formula Field</th><th>Roll-Up Summary</th></tr><tr><td>Direction</td><td>Looks UP to parent</td><td>Looks DOWN to children</td></tr><tr><td>Relationship</td><td>Lookup or Master-Detail</td><td>Master-Detail ONLY</td></tr><tr><td>Scope</td><td>One record (same or parent)</td><td>Many child records</td></tr><tr><td>Type</td><td>Calculated value</td><td>Aggregation (COUNT/SUM/MIN/MAX)</td></tr></table>	ObjManager::Formulas	Salesforce Admin	Basic
<b>What happens when a Custom Field is deleted in Salesforce?</b>	When a custom field is deleted:<br><ul><li>The field and its data are moved to a <b>temporary deleted state</b></li><li>Can be <b>undeleted (restored)</b> or permanently erased</li><li>After <b>15 days</b>, Salesforce automatically permanently deletes it</li></ul><br>⚠ Admin should be cautious about changing field types as <b>data loss may occur</b>.	ObjManager::Fields	Salesforce Admin	Basic
<b>What is the correct Order of Execution in Salesforce?</b>	When a record is saved, Salesforce processes in this order:<br><ol><li>Validation Rules</li><li>Assignment Rules</li><li>Auto-Response Rules</li><li>Workflow Rules (with immediate actions)</li><li>Escalation Rules</li></ol><br><b>Flow order (more detail):</b> Validation Rules → Duplicate Rules → Before-Save Flows → After-Save Flows → Assignment Rules → Workflow Rules → Escalation Rules	Automation::OrderOfExecution	Salesforce Admin	Basic
<b>[MCQ] What is the correct sequence of rule processing when a record is created or updated?</b><br><br>A. Assignment rules → Workflow rules → Validation rules → Escalation rules<br>B. Validation rules → Assignment rules → Workflow rules → Escalation rules<br>C. Escalation rules → Validation rules → Workflow rules → Assignment rules<br>D. Escalation rules → Assignment rules → Workflow rules → Validation rules	✅ <b>B. Validation rules → Assignment rules → Workflow rules → Escalation rules</b><br><br><b>Full order:</b> Validation Rules → Assignment Rules → Auto-Response Rules → Workflow Rules → Escalation Rules	Automation::OrderOfExecution	Salesforce Admin	Basic
<b>What are the main Flow types in Salesforce?</b>	<ol><li><b>Screen Flow</b> – Displays screens to users for data input (interactive)</li><li><b>Record-Triggered Flow</b> – Runs automatically when a record is created/updated/deleted</li><li><b>Schedule-Triggered Flow</b> – Runs at a specified time on a batch of records</li><li><b>Auto-Launched Flow</b> – Runs without a UI (called from other automation, Apex, or REST API)</li><li><b>Platform Event-Triggered Flow</b> – Runs when a platform event is received</li></ol>	Automation::Flow	Salesforce Admin	Basic
<b>What element in a Flow displays a screen to collect user input?</b>	The <b>Screen Element</b> in Flow Builder displays a screen to the user running the flow, allowing them to enter information.<br><br>⚠ The <b>Assignment Element</b> is used to set variable values — it does NOT display a screen.	Automation::Flow	Salesforce Admin	Basic
<b>What is an Assignment Rule in Salesforce?</b>	An Assignment Rule automatically assigns a <b>Lead or Case</b> record to a specific user or queue when it meets defined criteria.<br><br>During record creation/update, users can tick "Assign Using Active Assignment Rule" to trigger the rule manually.	Automation::AssignmentRules	Salesforce Admin	Basic
<b>What is an Auto-Response Rule in Salesforce?</b>	Auto-Response Rules automatically send an <b>email acknowledgment</b> to a customer when a Lead or Case is submitted (e.g., via Web-to-Lead or Web-to-Case).<br><br>⚠ Auto-Response Rules email the <b>customer/contact</b>, NOT the record owner.<br>Use Flow for internal automated emails to team members.	Automation::AutoResponse	Salesforce Admin	Basic
<b>What is an Escalation Rule in Salesforce?</b>	Escalation Rules automatically perform actions when a Case meets specific criteria (often time-based), such as:<br><ul><li>Reassign the case to a user or queue</li><li>Notify a user, case owner, or up to 5 email addresses</li></ul><br>Escalation uses <b>Business Hours</b> for time calculations.	Automation::EscalationRules	Salesforce Admin	Basic
<b>What is an Approval Process in Salesforce?</b>	An Approval Process automates a business process that requires a record to be <b>approved by one or more users</b> before a final action is taken.<br><br>- Multiple approval steps possible<br>- Actions on Submit, Approve, Reject, and Recall<br>- Flow can submit records for approval (recommended declarative approach)	Automation::ApprovalProcess	Salesforce Admin	Basic
<b>Why is Flow preferred over Workflow Rules and Process Builder?</b>	<ul><li><b>Workflow Rules</b> – Legacy (Salesforce Classic era), being retired</li><li><b>Process Builder</b> – Being removed/replaced by Flow</li><li><b>Flow</b> – Current standard tool; handles nearly all automation scenarios including screen interactions, complex logic, record updates, and more</li></ul><br>Salesforce recommends using standard declarative features (like Flow) before writing code (Apex).	Automation::Flow	Salesforce Admin	Basic
<b>[MCQ] A support agent needs to collect customer feedback using a flow before closing a case. Which flow element should be used?</b><br><br>A. Screen<br>B. Apex Action<br>C. Quick Action<br>D. Assignment	✅ <b>A. Screen</b><br><br><b>Explanation:</b> The Screen element displays a form/UI to the user running the flow, allowing them to enter customer feedback. The Assignment element sets variable values and has no UI component.	Automation::Flow	Salesforce Admin	Basic
<b>What is a Record-Triggered Flow? When does it NOT process existing records?</b>	A Record-Triggered Flow runs automatically when a record meeting the flow's criteria is <b>created, updated, or deleted</b>.<br><br>⚠ Activation of a record-triggered flow does <b>NOT</b> automatically process existing records that already meet the criteria. There is no "Run on Existing Records" option.	Automation::Flow	Salesforce Admin	Basic
<b>What are the two main data import tools in Salesforce?</b>	<b>Data Import Wizard:</b><br>- For end users and admins (Setup menu)<br>- Max 50,000 records<br>- Accounts, Contacts, Leads, Solutions, Campaign Members, Custom Objects<br>- Insert, Update, Upsert<br><br><b>Data Loader:</b><br>- Admins only (desktop app, must be downloaded)<br>- Up to 150 million records<br>- All objects including attachments<br>- Insert, Update, Upsert, Delete, Hard Delete, Export	Data::Import	Salesforce Admin	Basic
<b>[MCQ] An admin needs to import 80,000 custom object records. Which tool should be used?</b><br><br>A. Data Import Wizard<br>B. Reports<br>C. Data Loader<br>D. Mass Transfer Records Tool	✅ <b>C. Data Loader</b><br><br><b>Explanation:</b> Data Import Wizard is limited to 50,000 records. Data Loader can handle up to 150 million records and supports all objects including custom objects. It must be downloaded as a desktop application.	Data::Import	Salesforce Admin	Basic
<b>What is Upsert in Data Loader?</b>	Upsert is a Data Loader operation that:<br>- <b>Updates</b> an existing record if a match is found (using an ID or External ID)<br>- <b>Inserts</b> a new record if no match is found<br><br>Used when you're not sure if records already exist in Salesforce.	Data::Import	Salesforce Admin	Basic
<b>What is Hard Delete in Data Loader?</b>	Hard Delete permanently removes records <b>without sending them to the Recycle Bin</b>.<br><br>Requirements: The <b>"Use Bulk API"</b> setting must be enabled after installing Data Loader.	Data::Import	Salesforce Admin	Basic
<b>What is an External ID in Salesforce?</b>	An External ID is a custom field that stores a <b>unique identifier from an external system</b>. Used for matching records when importing or integrating data.<br><br>- Field type must be: <b>Text, Number, or Email</b><br>- Up to <b>25 custom fields</b> per object can be External IDs<br>- Recommended to enable the "Unique" setting	Data::Import	Salesforce Admin	Basic
<b>What are the four Report Formats in Salesforce?</b>	<ol><li><b>Tabular</b> – Simple list of rows. No grouping or subtotals. Like a spreadsheet.</li><li><b>Summary</b> – Grouped by rows with subtotals. Good for totals by category.</li><li><b>Matrix</b> – Grouped by both rows and columns. Good for comparing two dimensions.</li><li><b>Joined</b> – Multiple report blocks in a single view across different objects/report types.</li></ol><br>Report format is NOT explicitly selected; it auto-adapts based on groupings configured.	Data::Reports	Salesforce Admin	Basic
<b>What is a Custom Report Type?</b>	A Custom Report Type allows admins to define:<br>- The <b>primary object</b> (up to 4 levels: primary + 3 related objects)<br>- Which <b>fields</b> are available in the report builder<br>- Whether related records are required ("with" reports) or optional ("with or without")<br><br>Used when standard report types don't include the objects or fields needed.	Data::Reports	Salesforce Admin	Basic
<b>What is a Bucket Field in reports?</b>	A Bucket Field groups report values into named ranges/categories without creating a custom formula field.<br><br>Limits:<br>- Up to <b>5 bucket fields</b> per report<br>- Up to <b>20 buckets</b> per bucket field<br>- Supported types: Number, Percent, Currency, Picklist, Text<br>- Cannot be used in Joined reports	Data::Reports	Salesforce Admin	Basic
